experiment,fold,train_accuracy,test_accuracy,val_accuracy,test_precision,test_recall,test_f1,val_precision,val_recall,val_f1,timeuse,rank
imbalance_handler_200_200,2,0.998905472636816,0.999316005471956,0.998830845771144,0.743243243243243,0.714285714285714,0.728476821192053,0.918032786885246,0.84,0.877284595300261,3.46237707138062,9
imbalance_handler_250_200,3,0.998686567164179,0.999366053852057,0.998726368159204,0.8,0.675324675324675,0.732394366197183,0.934579439252336,0.8,0.862068965517242,3.92658996582031,8
imbalance_handler_415_475,2,0.999549458337552,0.999466150612259,0.999382403563835,0.868852459016393,0.688311688311688,0.768115942028986,0.929618768328446,0.763855421686747,0.838624338624339,22.3481528759003,6
imbalance_handler_415_300,2,0.999319537285354,0.999532881785726,0.999087379418004,0.915254237288136,0.701298701298701,0.794117647058823,0.954682779456193,0.76144578313253,0.847184986595174,12.2559418678284,1
imbalance_handler_830_120,1,0.998436722094992,0.999482833405625,0.998456636463208,0.819444444444444,0.766233766233766,0.791946308724832,0.953020134228188,0.855421686746988,0.901587301587301,9.50928807258606,2
imbalance_handler_1660_10,3,0.985158817086528,0.998982349604618,0.988828039430449,0.574074074074074,0.805194805194805,0.67027027027027,0.991228070175439,0.884939759036145,0.935073201782304,1.18926811218262,12
imbalance_handler_200_100,2,0.998217821782178,0.999199225918388,0.997871287128713,0.662921348314607,0.766233766233766,0.710843373493976,0.93854748603352,0.84,0.886543535620053,1.39203715324402,10
imbalance_handler_300_200,1,0.998805970149254,0.999466150612259,0.998822553897181,0.816901408450704,0.753246753246753,0.783783783783784,0.901754385964912,0.856666666666667,0.878632478632479,5.2333869934082,3
imbalance_handler_400_50,3,0.99593137254902,0.999165860331654,0.997450980392157,0.651685393258427,0.753246753246753,0.698795180722892,0.967741935483871,0.9,0.932642487046632,1.48352909088135,11
imbalance_handler_350_200,3,0.998848614072495,0.999449467818892,0.998734896943852,0.814285714285714,0.74025974025974,0.775510204081633,0.901538461538462,0.837142857142857,0.868148148148148,5.56027221679688,4
imbalance_handler_650_80,3,0.997815764482431,0.999316005471956,0.998195631528965,0.714285714285714,0.779220779220779,0.745341614906832,0.960199004975124,0.890769230769231,0.924181963288109,3.71345114707947,7
imbalance_handler_560_120,4,0.998347107438017,0.999449467818892,0.998288075560803,0.814285714285714,0.74025974025974,0.775510204081633,0.944,0.842857142857143,0.890566037735849,5.63429594039917,4
