experiment,train_accuracy_ave,train_accuracy_var,test_accuracy_ave,test_accuracy_var,val_accuracy_ave,val_accuracy_var,test_precision_ave,test_precision_var,test_recall_ave,test_recall_var,test_f1_ave,test_f1_var,val_precision_ave,val_precision_var,val_recall_ave,val_recall_var,val_f1_ave,val_f1_var,timeuse_ave,timeuse_var
830_200,0.998898579392196,4.27262155832487e-09,0.999482833405625,5.56631189047788e-10,0.99870526883654,4.51514597753819e-08,0.831125242503615,0.000236719573750492,0.75,4.2165626581211e-05,0.788430336962627,7.12684167007819e-05,0.901663788973536,0.00017509055142865,0.830120481927711,0.00124546378284221,0.864239110564716,0.000575759904667582,15.5727462768555,0.512685188367679
830_100,0.998049624239532,4.40651778148295e-08,0.999353541757032,2.9014400729061e-08,0.997790170583323,2.88996891422267e-07,0.760246818025456,0.00861349394091901,0.746753246753247,0.000505987518974532,0.750428545287213,0.00193026977224679,0.953741589599199,0.000269439611620471,0.816265060240964,0.00225528620506121,0.879218554504868,0.00102993888096216,6.91478401422501,0.069967640005468
830_240,0.999107633854922,6.20647125231545e-09,0.999474492008942,1.20603424293605e-09,0.99902889566565,1.79508643367961e-08,0.842467315293402,0.00048369296406231,0.727272727272727,0.000112441670883229,0.780547688853689,0.000166512968012516,0.928734308112331,0.000294581226670129,0.830120481927711,0.00140513862679634,0.876152969626459,0.00038926326055915,19.9627587795258,0.0710617181492808
830_120,0.998319725181719,1.15256661614411e-08,0.999391078042107,3.8036464584854e-09,0.998150453051877,6.54608265212299e-08,0.77366709180758,0.00167557514018901,0.746753246753247,0.000168662506324844,0.759416346513121,0.000324029973399642,0.940416376986254,5.08671354174525e-05,0.828614457831325,0.000747447621812552,0.880855374169494,0.000329507133728529,8.73090749979019,0.0295143053767551
830_180,0.998795180722892,1.62464356963049e-09,0.999453638517233,2.55122628313158e-10,0.998728616121946,1.07226475595739e-08,0.822010827506847,5.97026642743918e-05,0.733766233766234,0.000505987518974532,0.775169821488831,0.000106536841423219,0.942438347820439,0.000265428161243418,0.820481927710843,0.000811922388348574,0.876842235045082,0.000151498234064558,13.5249498486519,0.0425857160536746
830_30,0.994908666925768,8.20704429241062e-07,0.99910747055487,1.46672318313835e-07,0.994617178390983,3.71079241932904e-07,0.650950358523369,0.0191741029306738,0.76948051948052,0.00026704896834767,0.697857128681432,0.00664315034886699,0.97339807347802,0.000107148839876626,0.856626506024096,0.00029902743504137,0.91119373424832,0.000112035673271057,1.51990151405334,0.0196905688912163
830_85,0.997632390025217,6.83008575839837e-08,0.999366053852057,6.67957426855864e-09,0.997635892406837,2.40017980135346e-07,0.762097116561508,0.00309839580131844,0.743506493506494,0.000379490639230899,0.751452991452991,0.000464997443202568,0.959673361767496,0.000163685128558394,0.831927710843373,0.00213335268785987,0.890607241025151,0.000662449591718863,5.67699646949768,0.0670379886748075
