experiment,train_accuracy_ave,train_accuracy_var,test_accuracy_ave,test_accuracy_var,val_accuracy_ave,val_accuracy_var,test_precision_ave,test_precision_var,test_recall_ave,test_recall_var,test_f1_ave,test_f1_var,val_precision_ave,val_precision_var,val_recall_ave,val_recall_var,val_f1_ave,val_f1_var,timeuse_ave,timeuse_var
imbalance_handler_200_200,0.998756218905473,1.77388348473278e-08,0.999278469186881,3.03827857354778e-09,0.998613184079602,2.36689685898799e-08,0.715369793494793,0.000930951837177157,0.730519480519481,0.000379490639230899,0.722467599634223,0.000277710758038206,0.901422410252291,0.000930224437270875,0.81125,0.00107291666666666,0.853288775640342,0.000279261965212225,3.38858675956726,0.0113216370334991
imbalance_handler_250_200,0.998741293532338,2.47518625776576e-09,0.999249274298489,2.28218787509173e-08,0.998512437810945,3.86459081045828e-08,0.706435528756957,0.00771282938668806,0.74025974025974,0.0019115084050149,0.718769587220291,0.00112207165871327,0.88577313211303,0.0013189595681123,0.806,0.000154666666666666,0.843733130464765,0.000339982597522059,3.91679096221924,0.00374707641655429
imbalance_handler_415_475,0.999506429077655,1.17027846549089e-09,0.999407760835474,9.18441461926813e-09,0.999267237015288,1.50235565779372e-08,0.841899225289266,0.000560005864611492,0.662337662337662,0.00494743351886209,0.740361287008562,0.00281351691591721,0.89563390715251,0.000815804607266056,0.736746987951807,0.00145691198529056,0.808353922721055,0.00115234296242757,22.3816466331482,0.0239472481864974
imbalance_handler_415_300,0.999257495096666,1.15089802246935e-08,0.999436955723866,8.23350300465141e-09,0.999057359004123,1.08414059657206e-09,0.826482157846797,0.00504617412853097,0.717532467532468,0.000604373980997358,0.7667327706203,0.000870601513029622,0.940052989010079,0.000511970730724216,0.76566265060241,0.000125320559345817,0.843710084278502,8.51619609412133e-06,12.5869982242584,0.0548744703665231
imbalance_handler_830_120,0.998294832221448,2.48772622309021e-08,0.999424443628841,7.14343359276534e-09,0.998235089116798,9.4807899069948e-08,0.800095930410322,0.00277631978957258,0.74025974025974,0.000449766683532918,0.768192056633263,0.000708441568412797,0.954629283007959,2.563904749794e-05,0.825602409638554,0.00129034209125659,0.885168890709552,0.000503649068411892,9.37156230211258,0.0318195841481905
imbalance_handler_1660_10,0.985802300109529,6.52565454489475e-07,0.998606986753862,8.72983248155122e-08,0.984789156626506,7.50262825672897e-06,0.482380820647014,0.00469012376333749,0.811688311688312,5.62208354416147e-05,0.602902517408294,0.00267809721397146,0.982907841401974,9.06577650930743e-05,0.847439759036145,0.000767497701649971,0.909984734167635,0.000294784489952904,1.20452231168747,0.0101044059393255
imbalance_handler_200_100,0.998019801980198,8.65928176976115e-08,0.999082446364819,2.69038408039328e-08,0.997487623762376,1.90136587916218e-07,0.621225967945706,0.00366005740479762,0.75,0.000379490639230899,0.678790145748373,0.0018832457210652,0.918548505899224,0.000327571759153489,0.81875,0.00113958333333333,0.865617936718638,0.000621139602810333,1.45349627733231,0.00963046545266385
imbalance_handler_300_200,0.998839137645108,3.48359547389092e-09,0.999424443628841,1.20603424293605e-09,0.998606965174129,4.93203780251096e-08,0.805758356618826,0.000189794922868438,0.727272727272727,0.000337325012649688,0.76445677020952,0.000225255603792173,0.914964930995913,0.000426835022403515,0.794166666666667,0.0021212962962963,0.849676770453805,0.000731207552954812,5.08193051815033,0.0118207807084711
imbalance_handler_400_50,0.996519607843137,1.87427912341393e-07,0.999270127790197,1.26865525170269e-08,0.996458333333333,8.67254581571163e-07,0.702004549162514,0.00349455465585888,0.75974025974026,0.000168662506324844,0.728766228791041,0.00101922717743679,0.96914536448114,3.2213211735639e-05,0.84625,0.00217708333333333,0.903066243094412,0.000767081121033847,1.46261459589005,0.00370155689955235
imbalance_handler_350_200,0.998809523809524,1.23085792818148e-08,0.999361883153715,1.47275335435248e-08,0.99862828713575,2.49875946022068e-08,0.781867729045148,0.00682648735000065,0.714285714285714,0.00146174172148198,0.743305204800073,0.00089775832350466,0.915502027723449,0.000534982975667979,0.799285714285714,0.0025108843537415,0.852324187543368,0.000501914044020729,5.81396281719208,0.0318460963590231
imbalance_handler_650_80,0.997763532763533,2.73566803059399e-09,0.999182543125021,1.65133919417206e-08,0.997502374169041,2.24264653936503e-07,0.659043585728521,0.00310817012960581,0.766233766233766,0.000112441670883229,0.707668460205113,0.00110052174741197,0.951158625364205,5.96451987005083e-05,0.840769230769231,0.00122840236686391,0.892336767518883,0.00047775730092473,3.99706101417542,0.0364837237661959
imbalance_handler_560_120,0.998280696576151,8.20371178319263e-09,0.999353541757032,2.27059139198661e-08,0.998162632821724,2.82410963155836e-08,0.75778566700942,0.00768932985797181,0.746753246753247,5.62208354416147e-05,0.749979405666554,0.00169025514187019,0.945025009975654,4.19218821812798e-05,0.825892857142857,0.000742984693877552,0.881191836710703,0.000174740665969379,5.65434569120407,0.0395881832344524
