test_fold,fold,train,test,test_precision,test_recall,test_f1,timeuse
4,1,0.9994841372195,0.999270670271809,0.853932584269663,0.730769230769231,0.787564766839378,7.49594807624817
4,2,0.999412978511456,0.999315147687956,0.896969696969697,0.711538461538462,0.793565683646113,7.54504799842834
4,3,0.999510815426213,0.999395195360793,0.888268156424581,0.768115942028985,0.823834196891192,7.35167193412781
4,4,0.999528608148853,0.99935071865661,0.860215053763441,0.772946859903382,0.814249363867685,7.72280788421631
5,1,0.999466346474551,0.999488582038112,0.922535211267606,0.789156626506024,0.850649350649351,8.80162000656128
5,2,0.999540465019753,0.999332933093189,0.873239436619718,0.746987951807229,0.805194805194805,8.22975397109985
5,3,0.999577524292353,0.999255108620728,0.823529411764706,0.759036144578313,0.789968652037618,8.18023300170898
5,4,0.999540465019753,0.999210637493607,0.810457516339869,0.746987951807229,0.777429467084639,8.20251893997192
5,5,0.999451522765511,0.999444110910991,0.891891891891892,0.795180722891566,0.840764331210191,8.12578201293945
6,1,0.999466350034354,0.999212850548336,0.869158878504673,0.673913043478261,0.759183673469388,10.449905872345
6,2,0.999366290665795,0.999319582677375,0.817518248175182,0.811594202898551,0.814545454545455,9.68881416320801
6,3,0.999473013628268,0.999306259672341,0.846774193548387,0.760869565217391,0.801526717557252,9.60658192634583
6,4,0.999499696482533,0.999399647793372,0.872,0.789855072463768,0.828897338403042,10.0851922035217
6,5,0.999419651791075,0.999453005136415,0.865671641791045,0.834532374100719,0.84981684981685,9.41256380081177
6,6,0.999513041158028,0.999332933093189,0.850393700787402,0.776978417266187,0.81203007518797,9.44490313529968
7,1,0.999520598691297,0.999284024405429,0.875,0.711864406779661,0.785046728971963,10.2809591293335
7,2,0.999533053580545,0.999392967765032,0.884615384615385,0.773109243697479,0.825112107623318,10.5428099632263
7,3,0.999389852879832,0.999408541900137,0.847457627118644,0.833333333333333,0.840336134453782,10.0882828235626
7,4,0.999477020010211,0.999486357339642,0.905660377358491,0.80672268907563,0.853333333333333,10.281368970871
7,5,0.999508152833725,0.999330697630981,0.878787878787879,0.73728813559322,0.80184331797235,10.0761559009552
7,6,0.999557960141702,0.999206176260001,0.813084112149533,0.73728813559322,0.773333333333333,10.2970881462097
7,7,0.999408530852898,0.999175071597559,0.798165137614679,0.73728813559322,0.766519823788546,10.3057370185852
8,1,0.999436693211264,0.999448575189441,0.876288659793814,0.817307692307692,0.845771144278607,10.7599329948425
8,2,0.999401123042532,0.999324035861676,0.789473684210526,0.865384615384615,0.825688073394495,11.2410840988159
8,3,0.999430770416664,0.9993951899815,0.836538461538462,0.836538461538462,0.836538461538462,10.9751977920532
8,4,0.999365546193574,0.999341824391632,0.845360824742268,0.788461538461538,0.81592039800995,10.7792310714722
8,5,0.999549359913192,0.999217304681941,0.833333333333333,0.721153846153846,0.77319587628866,10.6970629692078
8,6,0.99951971253906,0.999146150562118,0.791666666666667,0.730769230769231,0.76,10.9261651039124
8,7,0.999472279869552,0.999270657297874,0.852272727272727,0.728155339805825,0.785340314136126,10.8577330112457
8,8,0.999412978511456,0.999448565380579,0.918604651162791,0.766990291262136,0.835978835978836,11.1696970462799
9,1,0.999433946081935,0.999379627776666,0.876543209876543,0.771739130434783,0.820809248554913,11.2213280200958
9,2,0.999428228365591,0.99939963978387,0.869047619047619,0.793478260869565,0.829545454545455,11.1151881217957
9,3,0.999411075216558,0.999299579747849,0.835294117647059,0.771739130434783,0.80225988700565,11.7743220329285
9,4,0.999491123245376,0.999279567740644,0.888888888888889,0.695652173913043,0.780487804878049,11.5027709007263
9,5,0.999456816947311,0.999359615769462,0.875,0.760869565217391,0.813953488372093,11.7905030250549
9,6,0.999491123245376,0.999419651791075,0.870588235294118,0.804347826086957,0.836158192090395,11.2040600776672
9,7,0.999439660594417,0.999299593764383,0.784313725490196,0.860215053763441,0.82051282051282,11.3452138900757
9,8,0.999462534663655,0.999339603762257,0.833333333333333,0.806451612903226,0.819672131147541,9.71826195716858
9,9,0.999554020675144,0.999399627769217,0.844444444444444,0.826086956521739,0.835164835164835,11.3378329277039
10,1,0.999427431055472,0.99937741806377,0.888888888888889,0.761904761904762,0.82051282051282,11.9607648849487
10,2,0.999466343508013,0.999710944101036,0.938271604938272,0.904761904761905,0.921212121212121,11.3898220062256
10,3,0.999466343508013,0.999555298616979,0.921052631578947,0.833333333333333,0.875,11.4200291633606
10,4,0.999488579195179,0.999444123271223,0.904109589041096,0.785714285714286,0.840764331210191,12.0786428451538
10,5,0.999416313211889,0.999510828478677,0.8875,0.845238095238095,0.865853658536585,11.4656691551208
10,6,0.999466343508013,0.999421888202072,0.881578947368421,0.797619047619048,0.8375,11.6495678424835
10,7,0.999483020273388,0.999177302441411,0.840579710144927,0.69047619047619,0.758169934640523,11.3980059623718
10,8,0.999566404100261,0.998999421888202,0.774647887323944,0.654761904761905,0.709677419354839,11.992733001709
10,9,0.999516387245964,0.999110498343303,0.782608695652174,0.683544303797468,0.72972972972973,11.4764621257782
10,10,0.999488593409525,0.999266161133225,0.794871794871795,0.784810126582278,0.789808917197452,11.5568430423737
