test_fold,train_ave,train_var,test_ave,test_var,test_precision_ave,test_precision_var,test_recall_ave,test_recall_var,test_f1_ave,test_f1_var,timeuse_ave,timeuse_var
4,0.999484134826505,2.58431732619175e-09,0.999332932994292,2.79529859961502e-09,0.874846372856845,0.000440349265141269,0.745842623560015,0.000878241015201171,0.804803502811092,0.00029161806858601,7.52886897325516,0.0234522127251987
5,0.999515264714384,2.90059901616569e-09,0.999346274431326,1.41775017253313e-08,0.864330693576758,0.00219845376447489,0.767469879518072,0.000537088111482074,0.812801321235321,0.00101119029810085,8.3079815864563,0.0776093012265619
6,0.999456340626675,2.98558476585495e-09,0.999337379820172,6.81180581206349e-09,0.853586110467781,0.00041702537628863,0.77462377923748,0.00310504385564638,0.811000018163326,0.000923073725961753,9.78132685025533,0.165518710002076
7,0.999485024141458,4.06663841731761e-09,0.999326262414112,1.26554951312807e-08,0.857538645377801,0.00156805426668363,0.762413439952252,0.00192606476081726,0.806503539925232,0.00114417089355595,10.2674859932491,0.0245396599249424
8,0.999448557962162,3.8072611087306e-09,0.999324037918345,1.17544259100839e-08,0.842942376090073,0.00179301458079624,0.781845126960418,0.00295243079165826,0.809804137953142,0.0010574668736579,10.9257630109787,0.0381825935412508
9,0.999463169892818,1.89986147172371e-09,0.999352945322825,2.60279559835572e-09,0.853050397113578,0.00104805277507269,0.787842190016103,0.00213701801529942,0.817618206919083,0.000305578687065456,11.2232756614685,0.376078883930276
10,0.999478575901572,1.81166568940936e-09,0.99935738845399,4.77384872885553e-08,0.861410974980846,0.00352547911807783,0.774216395418927,0.00622532652613112,0.814822893239426,0.00454392772565014,11.6388540029526,0.0725983232449159
