Method,Range,TargetFeature,Precision,Recall,F1,FraudNumberOfRow,NumberOfRow
std,-4~4,V1+V2+V3+V4+V5+V6+V7+V8+V9+V10+V11+V12+V13+V15+V16+V17+V18+V19+V20+V21+V22+V23+V24+V25+V26+V27+V28,0.25,0.012987,0.024691,45,203041
std,-2~2,V1+V2+V3+V4+V5+V6+V7+V8+V9+V10+V11+V12+V13+V14+V15+V16+V17+V18+V19+V20+V21+V22+V23+V24+V25+V26+V27+V28+Amount,NA,0,0,6,55719
IQR,-2~2,V1+V2+V3+V4+V5+V6+V7+V8+V9+V10+V11+V12+V13+V14+V15+V16+V17+V18+V19+V20+V21+V22+V23+V24+V25+V26+V27+V28+Amount,NA,0,0,11,80773
std,-2~2,V1+V2+V3+V4+V5+V6+V7+V8+V9+V10+V11+V12+V13+V14+V15+V16+V17+V18+V19+V20+V21+V22+V23+V24+V25+V26+V27+V28,NA,0,0,6,59206
IQR,-2~2,V1+V2+V3+V4+V5+V6+V7+V8+V9+V10+V11+V12+V13+V14+V15+V16+V17+V18+V19+V20+V21+V22+V23+V24+V25+V26+V27+V28,NA,0,0,12,92280
std,-2.5~2.5,V1+V2+V3+V4+V5+V6+V7+V8+V9+V10+V11+V12+V13+V14+V15+V16+V17+V18+V19+V20+V21+V22+V23+V24+V25+V26+V27+V28+Amount,NA,0,0,13,120132
IQR,-2.5~2.5,V1+V2+V3+V4+V5+V6+V7+V8+V9+V10+V11+V12+V13+V14+V15+V16+V17+V18+V19+V20+V21+V22+V23+V24+V25+V26+V27+V28+Amount,NA,0,0,19,128877
std,-2.5~2.5,V1+V2+V3+V4+V5+V6+V7+V8+V9+V10+V11+V12+V13+V14+V15+V16+V17+V18+V19+V20+V21+V22+V23+V24+V25+V26+V27+V28,NA,0,0,13,124937
IQR,-2.5~2.5,V1+V2+V3+V4+V5+V6+V7+V8+V9+V10+V11+V12+V13+V14+V15+V16+V17+V18+V19+V20+V21+V22+V23+V24+V25+V26+V27+V28,NA,0,0,19,142430
std,-3~3,V1+V2+V3+V4+V5+V6+V7+V8+V9+V10+V11+V12+V13+V14+V15+V16+V17+V18+V19+V20+V21+V22+V23+V24+V25+V26+V27+V28+Amount,NA,0,0,24,163982
IQR,-3~3,V1+V2+V3+V4+V5+V6+V7+V8+V9+V10+V11+V12+V13+V14+V15+V16+V17+V18+V19+V20+V21+V22+V23+V24+V25+V26+V27+V28+Amount,NA,0,0,27,156414
std,-3~3,V1+V2+V3+V4+V5+V6+V7+V8+V9+V10+V11+V12+V13+V14+V15+V16+V17+V18+V19+V20+V21+V22+V23+V24+V25+V26+V27+V28,NA,0,0,24,168404
IQR,-3~3,V1+V2+V3+V4+V5+V6+V7+V8+V9+V10+V11+V12+V13+V14+V15+V16+V17+V18+V19+V20+V21+V22+V23+V24+V25+V26+V27+V28,NA,0,0,30,169486
std,-3.5~3.5,V1+V2+V3+V4+V5+V6+V7+V8+V9+V10+V11+V12+V13+V14+V15+V16+V17+V18+V19+V20+V21+V22+V23+V24+V25+V26+V27+V28+Amount,NA,0,0,32,187926
IQR,-3.5~3.5,V1+V2+V3+V4+V5+V6+V7+V8+V9+V10+V11+V12+V13+V14+V15+V16+V17+V18+V19+V20+V21+V22+V23+V24+V25+V26+V27+V28+Amount,NA,0,0,27,173696
std,-3.5~3.5,V1+V2+V3+V4+V5+V6+V7+V8+V9+V10+V11+V12+V13+V14+V15+V16+V17+V18+V19+V20+V21+V22+V23+V24+V25+V26+V27+V28,NA,0,0,32,191560
IQR,-3.5~3.5,V1+V2+V3+V4+V5+V6+V7+V8+V9+V10+V11+V12+V13+V14+V15+V16+V17+V18+V19+V20+V21+V22+V23+V24+V25+V26+V27+V28,NA,0,0,32,185485
std,-4~4,V1+V2+V3+V4+V5+V6+V7+V8+V9+V10+V11+V12+V13+V14+V15+V16+V17+V18+V19+V20+V21+V22+V23+V24+V25+V26+V27+V28+Amount,NA,0,0,39,199585
IQR,-4~4,V1+V2+V3+V4+V5+V6+V7+V8+V9+V10+V11+V12+V13+V14+V15+V16+V17+V18+V19+V20+V21+V22+V23+V24+V25+V26+V27+V28+Amount,NA,0,0,30,184611
std,-4~4,V1+V2+V3+V4+V5+V6+V7+V8+V9+V10+V11+V12+V13+V14+V15+V16+V17+V18+V19+V20+V21+V22+V23+V24+V25+V26+V27+V28,NA,0,0,42,202448
IQR,-4~4,V1+V2+V3+V4+V5+V6+V7+V8+V9+V10+V11+V12+V13+V14+V15+V16+V17+V18+V19+V20+V21+V22+V23+V24+V25+V26+V27+V28,NA,0,0,37,194949
std,-3~3,V1+V2+V3+V4+V5+V6+V7+V8+V9+V10+V11+V12+V13+V15+V16+V17+V18+V19+V20+V21+V22+V23+V24+V25+V26+V27+V28,NA,0,0,26,169947
IQR,-3~3,V1+V2+V3+V4+V5+V6+V7+V8+V9+V10+V11+V12+V13+V15+V16+V17+V18+V19+V20+V21+V22+V23+V24+V25+V26+V27+V28,NA,0,0,31,170421
std,-3~3,V1+V2+V3+V4+V5+V6+V7+V8+V9+V10+V11+V12+V13+V15+V16+V17+V18+V19+V20+V21+V22+V23+V24+V25+V26+V27+V28+Amount,NA,0,0,26,165493
IQR,-3~3,V1+V2+V3+V4+V5+V6+V7+V8+V9+V10+V11+V12+V13+V15+V16+V17+V18+V19+V20+V21+V22+V23+V24+V25+V26+V27+V28+Amount,NA,0,0,28,157353
IQR,-3~3,V2+V3+V4+V5+V6+V7+V15+V16+V17+V18+V23+V24+V25+V26,NA,0,0,47,201401
IQR,-3~3,V11+V12+V13+V20+V21+V22+V23+V24+V27+V28+Amount,NA,0,0,49,169931
std,-3.5~3.5,V1+V2+V3+V4+V5+V6+V7+V8+V9+V10+V11+V12+V13+V15+V16+V17+V18+V19+V20+V21+V22+V23+V24+V25+V26+V27+V28,NA,0,0,34,192224
IQR,-3.5~3.5,V1+V2+V3+V4+V5+V6+V7+V8+V9+V10+V11+V12+V13+V15+V16+V17+V18+V19+V20+V21+V22+V23+V24+V25+V26+V27+V28,NA,0,0,37,186352
std,-3.5~3.5,V1+V2+V3+V4+V5+V6+V7+V8+V9+V10+V11+V12+V13+V15+V16+V17+V18+V19+V20+V21+V22+V23+V24+V25+V26+V27+V28+Amount,NA,0,0,34,188573
IQR,-3.5~3.5,V1+V2+V3+V4+V5+V6+V7+V8+V9+V10+V11+V12+V13+V15+V16+V17+V18+V19+V20+V21+V22+V23+V24+V25+V26+V27+V28+Amount,NA,0,0,31,174473
std,-4~4,V1+V2+V3+V4+V5+V6+V7+V8+V9+V10+V11+V12+V13+V15+V16+V17+V18+V19+V20+V21+V22+V23+V24+V25+V26+V27+V28+Amount,NA,0,0,42,200171
std,-1~1,V1+V2+V3+V4+V5+V6+V7+V8+V9+V10+V11+V12+V13+V14+V15+V16+V17+V18+V19+V20+V21+V22+V23+V24+V25+V26+V27+V28+Amount,NA,NA,NA,0,27
IQR,-1~1,V1+V2+V3+V4+V5+V6+V7+V8+V9+V10+V11+V12+V13+V14+V15+V16+V17+V18+V19+V20+V21+V22+V23+V24+V25+V26+V27+V28+Amount,NA,NA,NA,0,0
std,-1~1,V1+V2+V3+V4+V5+V6+V7+V8+V9+V10+V11+V12+V13+V14+V15+V16+V17+V18+V19+V20+V21+V22+V23+V24+V25+V26+V27+V28,NA,NA,NA,0,29
IQR,-1~1,V1+V2+V3+V4+V5+V6+V7+V8+V9+V10+V11+V12+V13+V14+V15+V16+V17+V18+V19+V20+V21+V22+V23+V24+V25+V26+V27+V28,NA,NA,NA,0,0
