experiment,fold,train_accuracy,test_accuracy,val_accuracy,test_precision,test_recall,test_f1,val_precision,val_recall,val_f1,timeuse,rank
decision trees(minsplit=10),3,0.999460420990216,0.999416102232158,0.999448545761807,0.85,0.662337662337662,0.744525547445255,0.918604651162791,0.766990291262136,0.835978835978836,34.3290030956268,4.5
decision trees(minsplit=15),3,0.999460420990216,0.999416102232158,0.999448545761807,0.85,0.662337662337662,0.744525547445255,0.918604651162791,0.766990291262136,0.835978835978836,32.9551019668579,4.5
decision trees(minsplit=20),1,0.999567143204445,0.99956624737246,0.999430787292326,0.904761904761905,0.74025974025974,0.814285714285714,0.86734693877551,0.817307692307692,0.841584158415842,37.1416828632355,1
decision trees(minsplit=25),3,0.999454491550548,0.999382736645424,0.999448545761807,0.844827586206897,0.636363636363636,0.725925925925926,0.918604651162791,0.766990291262136,0.835978835978836,32.3538599014282,6
decision trees(minsplit=30),2,0.999490065164928,0.999449467818892,0.999412978511456,0.814285714285714,0.74025974025974,0.775510204081633,0.851485148514851,0.826923076923077,0.839024390243902,30.4192800521851,2.5
decision trees(minsplit=35),2,0.999490065164928,0.999449467818892,0.999412978511456,0.814285714285714,0.74025974025974,0.775510204081633,0.851485148514851,0.826923076923077,0.839024390243902,36.4844930171967,2.5
