experiment,train_accuracy_ave,train_accuracy_var,test_accuracy_ave,test_accuracy_var,val_accuracy_ave,val_accuracy_var,test_precision_ave,test_precision_var,test_recall_ave,test_recall_var,test_f1_ave,test_f1_var,val_precision_ave,val_precision_var,val_recall_ave,val_recall_var,val_f1_ave,val_f1_var,timeuse_ave,timeuse_var
decision trees(minsplit=10),0.999552324272631,3.97257558024729e-09,0.999449467818892,4.45304951237984e-09,0.99939074561756,2.3995394665038e-09,0.867807112068965,0.00197412999622225,0.675324675324675,0.000562208354416147,0.759259834457847,0.000758623027034152,0.88480168031544,0.000576378334795718,0.771074495892457,0.000767604320686745,0.82360224615664,0.000218459101290819,34.0206219553947,10.1905017136207
decision trees(minsplit=15),0.999536018093802,2.56340448516263e-09,0.999453638517233,5.63589078910052e-09,0.999386298801491,2.00352974035043e-09,0.861238967569786,0.00103926139955648,0.685064935064935,0.00161634901894642,0.762831263029275,0.00119764501178935,0.879053505694621,0.00102322409049113,0.775882188200149,0.00102133366328838,0.823466219138891,0.000162260597733723,35.4184085130692,37.9850052691341
decision trees(minsplit=20),0.999512300212076,1.90705959213561e-09,0.999453638517233,5.82143451877993e-09,0.999395192591839,4.0082675842708e-09,0.853453433694775,0.00147754343562688,0.694805194805195,0.00208017091133974,0.765307166762315,0.00124495174376388,0.883221966112026,0.000617368243511434,0.775882188200149,0.00176097863370258,0.825303447011368,0.000467657856060735,35.7062622308731,1.0706023922455
decision trees(minsplit=25),0.999497476375583,8.29003307032632e-10,0.999449467818892,6.49403053888016e-09,0.999381851669002,3.45387873252828e-09,0.855813164846148,0.00150370457171303,0.688311688311688,0.00281104177208074,0.762018917155904,0.00150444582934953,0.879084601993052,0.00111139875351009,0.773478342046303,0.00213491524445305,0.821672744732286,0.000415161945429739,33.3135054707527,5.6055245946855
decision trees(minsplit=30),0.999461899421147,5.94678737227897e-10,0.999424443628841,3.24701526944255e-09,0.999377404220084,3.58623471600916e-09,0.823500434656621,0.00124445651520733,0.704545454545455,0.00195367403159611,0.758373081033179,0.000708900217501423,0.870154484960691,0.000503103324174105,0.780713218820015,0.0032328355515943,0.821579876044456,0.00061325584479927,34.3377347588539,10.9940096595381
decision trees(minsplit=35),0.999461899421147,5.94678737227897e-10,0.999424443628841,3.24701526944255e-09,0.999377404220084,3.58623471600916e-09,0.823500434656621,0.00124445651520733,0.704545454545455,0.00195367403159611,0.758373081033179,0.000708900217501423,0.870154484960691,0.000503103324174105,0.780713218820015,0.0032328355515943,0.821579876044456,0.00061325584479927,36.9958792328835,2.96457616434048
