experiment,fold,train_accuracy,test_accuracy,val_accuracy,test_precision,test_recall,test_f1,val_precision,val_recall,val_f1,timeuse
decision trees(depth=1),1,0.999092779592877,0.999015715191352,0.99907502935003,0.655172413793103,0.493506493506494,0.562962962962963,0.76,0.730769230769231,0.745098039215686,7.6503541469574
decision trees(depth=1),2,0.999069072452253,0.999015715191352,0.999146150562118,0.655172413793103,0.493506493506494,0.562962962962963,0.785714285714286,0.740384615384615,0.762376237623762,3.65697813034058
decision trees(depth=1),3,0.999116513489475,0.999032397984719,0.999057191141155,0.693877551020408,0.441558441558442,0.53968253968254,0.777777777777778,0.679611650485437,0.72538860103627,3.76261401176453
decision trees(depth=1),4,0.999116508250864,0.999015715191352,0.999003842322471,0.655172413793103,0.493506493506494,0.562962962962963,0.730769230769231,0.730769230769231,0.730769230769231,3.43200993537903
decision trees(depth=5),1,0.999525636388433,0.99956624737246,0.999377423600982,0.904761904761905,0.74025974025974,0.814285714285714,0.841584158415842,0.817307692307692,0.829268292682927,12.7458620071411
decision trees(depth=5),2,0.999513783064234,0.999432785025525,0.9993951899815,0.811594202898551,0.727272727272727,0.767123287671233,0.864583333333333,0.798076923076923,0.83,13.0160520076752
decision trees(depth=5),3,0.999460420990216,0.999416102232158,0.999448545761807,0.85,0.662337662337662,0.744525547445255,0.918604651162791,0.766990291262136,0.835978835978836,12.5018730163574
decision trees(depth=5),4,0.999507853589408,0.999399419438791,0.99930624733172,0.847457627118644,0.649350649350649,0.735294117647059,0.882352941176471,0.721153846153846,0.793650793650794,12.6677541732788
decision trees(depth=10),1,0.999567143204445,0.99956624737246,0.999430787292326,0.904761904761905,0.74025974025974,0.814285714285714,0.86734693877551,0.817307692307692,0.841584158415842,24.2220139503479
decision trees(depth=10),2,0.999513783064234,0.999432785025525,0.9993951899815,0.811594202898551,0.727272727272727,0.767123287671233,0.864583333333333,0.798076923076923,0.83,24.4122240543365
decision trees(depth=10),3,0.999460420990216,0.999416102232158,0.999448545761807,0.85,0.662337662337662,0.744525547445255,0.918604651162791,0.766990291262136,0.835978835978836,24.2595019340515
decision trees(depth=10),4,0.999507853589408,0.999399419438791,0.99930624733172,0.847457627118644,0.649350649350649,0.735294117647059,0.882352941176471,0.721153846153846,0.793650793650794,23.8131420612335
decision trees(depth=15),1,0.999567143204445,0.99956624737246,0.999430787292326,0.904761904761905,0.74025974025974,0.814285714285714,0.86734693877551,0.817307692307692,0.841584158415842,32.4593000411987
decision trees(depth=15),2,0.999513783064234,0.999432785025525,0.9993951899815,0.811594202898551,0.727272727272727,0.767123287671233,0.864583333333333,0.798076923076923,0.83,29.1643271446228
decision trees(depth=15),3,0.999460420990216,0.999416102232158,0.999448545761807,0.85,0.662337662337662,0.744525547445255,0.918604651162791,0.766990291262136,0.835978835978836,30.8321318626404
decision trees(depth=15),4,0.999507853589408,0.999399419438791,0.99930624733172,0.847457627118644,0.649350649350649,0.735294117647059,0.882352941176471,0.721153846153846,0.793650793650794,28.9604539871216
decision trees(depth=20),1,0.999567143204445,0.99956624737246,0.999430787292326,0.904761904761905,0.74025974025974,0.814285714285714,0.86734693877551,0.817307692307692,0.841584158415842,31.0818960666656
decision trees(depth=20),2,0.999513783064234,0.999432785025525,0.9993951899815,0.811594202898551,0.727272727272727,0.767123287671233,0.864583333333333,0.798076923076923,0.83,29.0708909034729
decision trees(depth=20),3,0.999460420990216,0.999416102232158,0.999448545761807,0.85,0.662337662337662,0.744525547445255,0.918604651162791,0.766990291262136,0.835978835978836,30.8978781700134
decision trees(depth=20),4,0.999507853589408,0.999399419438791,0.99930624733172,0.847457627118644,0.649350649350649,0.735294117647059,0.882352941176471,0.721153846153846,0.793650793650794,30.682089805603
