experiment,fold,train_accuracy,test_accuracy,val_accuracy,test_precision,test_recall,test_f1,val_precision,val_recall,val_f1,timeuse,rank
baseline,1,0.999567143204445,0.99956624737246,0.999430787292326,0.904761904761905,0.74025974025974,0.814285714285714,0.86734693877551,0.817307692307692,0.841584158415842,35.8092629909515,3
th(0.1),1,0.999537495478722,0.999482833405625,0.999430787292326,0.838235294117647,0.74025974025974,0.786206896551724,0.86734693877551,0.817307692307692,0.841584158415842,36.5823471546173,10
th(0.2),1,0.999567143204445,0.99956624737246,0.999430787292326,0.904761904761905,0.74025974025974,0.814285714285714,0.86734693877551,0.817307692307692,0.841584158415842,37.2988679409027,3
th(0.3),1,0.999567143204445,0.99956624737246,0.999430787292326,0.904761904761905,0.74025974025974,0.814285714285714,0.86734693877551,0.817307692307692,0.841584158415842,38.0700421333313,3
th(0.4),1,0.999567143204445,0.99956624737246,0.999430787292326,0.904761904761905,0.74025974025974,0.814285714285714,0.86734693877551,0.817307692307692,0.841584158415842,38.8072180747986,3
th(0.5),1,0.999567143204445,0.99956624737246,0.999430787292326,0.904761904761905,0.74025974025974,0.814285714285714,0.86734693877551,0.817307692307692,0.841584158415842,39.7886130809784,3
th(0.6),1,0.999567143204445,0.99956624737246,0.999430787292326,0.904761904761905,0.74025974025974,0.814285714285714,0.86734693877551,0.817307692307692,0.841584158415842,40.4665811061859,3
th(0.7),1,0.999567143204445,0.99956624737246,0.999430787292326,0.904761904761905,0.74025974025974,0.814285714285714,0.86734693877551,0.817307692307692,0.841584158415842,41.1923019886017,3
th(0.8),1,0.999525636388433,0.999616295752561,0.999395211498097,0.95,0.74025974025974,0.832116788321168,0.864583333333333,0.798076923076923,0.83,41.9217710494995,1
th(0.9),1,0.99949598866271,0.999616295752561,0.999412999395211,0.95,0.74025974025974,0.832116788321168,0.873684210526316,0.798076923076923,0.834170854271357,42.7176830768585,1
th(1),1,0.998155911460032,0.998715424910747,0.99815005870006,0,0,0,0,0,0,43.658595085144,11
