experiment,fold,train_accuracy,test_accuracy,val_accuracy,test_precision,test_recall,test_f1,val_precision,val_recall,val_f1,timeuse
baseline,1,0.999567143204445,0.99956624737246,0.999430787292326,0.904761904761905,0.74025974025974,0.814285714285714,0.86734693877551,0.817307692307692,0.841584158415842,35.8092629909515
baseline,2,0.999513783064234,0.999432785025525,0.9993951899815,0.811594202898551,0.727272727272727,0.767123287671233,0.864583333333333,0.798076923076923,0.83,29.731381893158
baseline,3,0.999460420990216,0.999416102232158,0.999448545761807,0.85,0.662337662337662,0.744525547445255,0.918604651162791,0.766990291262136,0.835978835978836,29.7793519496918
baseline,4,0.999507853589408,0.999399419438791,0.99930624733172,0.847457627118644,0.649350649350649,0.735294117647059,0.882352941176471,0.721153846153846,0.793650793650794,29.697007894516
th(0.1),1,0.999537495478722,0.999482833405625,0.999430787292326,0.838235294117647,0.74025974025974,0.786206896551724,0.86734693877551,0.817307692307692,0.841584158415842,36.5823471546173
th(0.1),2,0.999490065164928,0.999449467818892,0.999412978511456,0.814285714285714,0.74025974025974,0.775510204081633,0.851485148514851,0.826923076923077,0.839024390243902,30.5212819576263
th(0.1),3,0.99924696116217,0.999299322678589,0.999252868451481,0.721518987341772,0.74025974025974,0.730769230769231,0.769911504424779,0.844660194174757,0.805555555555555,30.5173940658569
th(0.1),4,0.999353687243921,0.999382736645424,0.999163939092073,0.803030303030303,0.688311688311688,0.741258741258741,0.776699029126214,0.769230769230769,0.772946859903382,30.5349340438843
th(0.2),1,0.999567143204445,0.99956624737246,0.999430787292326,0.904761904761905,0.74025974025974,0.814285714285714,0.86734693877551,0.817307692307692,0.841584158415842,37.2988679409027
th(0.2),2,0.999490065164928,0.999449467818892,0.999412978511456,0.814285714285714,0.74025974025974,0.775510204081633,0.851485148514851,0.826923076923077,0.839024390243902,31.2676889896393
th(0.2),3,0.999383338274533,0.999366053852057,0.999412968069021,0.774647887323944,0.714285714285714,0.743243243243243,0.857142857142857,0.815533980582524,0.835820895522388,31.3092749118805
th(0.2),4,0.999353687243921,0.999382736645424,0.999163939092073,0.803030303030303,0.688311688311688,0.741258741258741,0.776699029126214,0.769230769230769,0.772946859903382,31.3343458175659
th(0.3),1,0.999567143204445,0.99956624737246,0.999430787292326,0.904761904761905,0.74025974025974,0.814285714285714,0.86734693877551,0.817307692307692,0.841584158415842,38.0700421333313
th(0.3),2,0.999513783064234,0.999432785025525,0.9993951899815,0.811594202898551,0.727272727272727,0.767123287671233,0.864583333333333,0.798076923076923,0.83,32.1770930290222
th(0.3),3,0.999460420990216,0.999416102232158,0.999448545761807,0.85,0.662337662337662,0.744525547445255,0.918604651162791,0.766990291262136,0.835978835978836,32.1384088993073
th(0.3),4,0.999507853589408,0.999399419438791,0.99930624733172,0.847457627118644,0.649350649350649,0.735294117647059,0.882352941176471,0.721153846153846,0.793650793650794,32.3491849899292
th(0.4),1,0.999567143204445,0.99956624737246,0.999430787292326,0.904761904761905,0.74025974025974,0.814285714285714,0.86734693877551,0.817307692307692,0.841584158415842,38.8072180747986
th(0.4),2,0.999513783064234,0.999432785025525,0.9993951899815,0.811594202898551,0.727272727272727,0.767123287671233,0.864583333333333,0.798076923076923,0.83,33.0453588962555
th(0.4),3,0.999460420990216,0.999416102232158,0.999448545761807,0.85,0.662337662337662,0.744525547445255,0.918604651162791,0.766990291262136,0.835978835978836,32.8915688991547
th(0.4),4,0.999507853589408,0.999399419438791,0.99930624733172,0.847457627118644,0.649350649350649,0.735294117647059,0.882352941176471,0.721153846153846,0.793650793650794,33.2593529224396
th(0.5),1,0.999567143204445,0.99956624737246,0.999430787292326,0.904761904761905,0.74025974025974,0.814285714285714,0.86734693877551,0.817307692307692,0.841584158415842,39.7886130809784
th(0.5),2,0.999513783064234,0.999432785025525,0.9993951899815,0.811594202898551,0.727272727272727,0.767123287671233,0.864583333333333,0.798076923076923,0.83,33.8473210334778
th(0.5),3,0.999460420990216,0.999416102232158,0.999448545761807,0.85,0.662337662337662,0.744525547445255,0.918604651162791,0.766990291262136,0.835978835978836,33.6350400447845
th(0.5),4,0.999507853589408,0.999399419438791,0.99930624733172,0.847457627118644,0.649350649350649,0.735294117647059,0.882352941176471,0.721153846153846,0.793650793650794,34.1088409423828
th(0.6),1,0.999567143204445,0.99956624737246,0.999430787292326,0.904761904761905,0.74025974025974,0.814285714285714,0.86734693877551,0.817307692307692,0.841584158415842,40.4665811061859
th(0.6),2,0.999513783064234,0.999432785025525,0.9993951899815,0.811594202898551,0.727272727272727,0.767123287671233,0.864583333333333,0.798076923076923,0.83,34.5870339870453
th(0.6),3,0.999460420990216,0.999416102232158,0.999448545761807,0.85,0.662337662337662,0.744525547445255,0.918604651162791,0.766990291262136,0.835978835978836,34.4184989929199
th(0.6),4,0.999507853589408,0.999399419438791,0.99930624733172,0.847457627118644,0.649350649350649,0.735294117647059,0.882352941176471,0.721153846153846,0.793650793650794,35.1049008369446
th(0.7),1,0.999567143204445,0.99956624737246,0.999430787292326,0.904761904761905,0.74025974025974,0.814285714285714,0.86734693877551,0.817307692307692,0.841584158415842,41.1923019886017
th(0.7),2,0.999466347265623,0.999382736645424,0.999288458801765,0.857142857142857,0.623376623376623,0.721804511278196,0.872093023255814,0.721153846153846,0.789473684210526,35.5511770248413
th(0.7),3,0.999460420990216,0.999416102232158,0.999448545761807,0.85,0.662337662337662,0.744525547445255,0.918604651162791,0.766990291262136,0.835978835978836,35.1511778831482
