experiment,train_accuracy_ave,train_accuracy_var,test_accuracy_ave,test_accuracy_var,val_accuracy_ave,val_accuracy_var,test_precision_ave,test_precision_var,test_recall_ave,test_recall_var,test_f1_ave,test_f1_var,val_precision_ave,val_precision_var,val_recall_ave,val_recall_var,val_f1_ave,val_f1_var,timeuse_ave,timeuse_var
baseline,0.999512300212076,1.90705959213561e-09,0.999453638517233,5.82143451877993e-09,0.999395192591839,4.0082675842708e-09,0.853453433694775,0.00147754343562688,0.694805194805195,0.00208017091133974,0.765307166762315,0.00124495174376388,0.883221966112026,0.000617368243511434,0.775882188200149,0.00176097863370258,0.825303447011368,0.000467657856060735,33.2767434716225,0.250640866215174
remove time,0.999512300212076,1.90705959213561e-09,0.999453638517233,5.82143451877993e-09,0.999395192591839,4.0082675842708e-09,0.853453433694775,0.00147754343562688,0.694805194805195,0.00208017091133974,0.765307166762315,0.00124495174376388,0.883221966112026,0.000617368243511434,0.775882188200149,0.00176097863370258,0.825303447011368,0.000467657856060735,35.2418727278709,0.670094322752159
time(log),0.999512300212076,1.90705959213561e-09,0.999453638517233,5.82143451877993e-09,0.999395192591839,4.0082675842708e-09,0.853453433694775,0.00147754343562688,0.694805194805195,0.00208017091133974,0.765307166762315,0.00124495174376388,0.883221966112026,0.000617368243511434,0.775882188200149,0.00176097863370258,0.825303447011368,0.000467657856060735,36.2211717367172,2.35191706444063
time(min_max_norm),0.999512300212076,1.90705959213561e-09,0.999453638517233,5.82143451877993e-09,0.999395192591839,4.0082675842708e-09,0.853453433694775,0.00147754343562688,0.694805194805195,0.00208017091133974,0.765307166762315,0.00124495174376388,0.883221966112026,0.000617368243511434,0.775882188200149,0.00176097863370258,0.825303447011368,0.000467657856060735,32.0348132252693,2.09005136845941
time(zscore_norm),0.999512300212076,1.90705959213561e-09,0.999453638517233,5.82143451877993e-09,0.999395192591839,4.0082675842708e-09,0.853453433694775,0.00147754343562688,0.694805194805195,0.00208017091133974,0.765307166762315,0.00124495174376388,0.883221966112026,0.000617368243511434,0.775882188200149,0.00176097863370258,0.825303447011368,0.000467657856060735,31.9821365475655,0.136713090469409
time(tran_to_hour),0.999512300212076,1.90705959213561e-09,0.999453638517233,5.82143451877993e-09,0.999395192591839,4.0082675842708e-09,0.853453433694775,0.00147754343562688,0.694805194805195,0.00208017091133974,0.765307166762315,0.00124495174376388,0.883221966112026,0.000617368243511434,0.775882188200149,0.00176097863370258,0.825303447011368,0.000467657856060735,31.5869964361191,0.551524031366228
